         45803 function calls (43593 primitive calls) in 2.562 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        2    0.000    0.000    0.000    0.000 :0(setter)
       50    0.000    0.000    0.000    0.000 :0(sizeof)
        5    0.000    0.000    0.000    0.000 :0(split)
        1    0.000    0.000    0.000    0.000 :0(sqrt)
      222    0.000    0.000    0.000    0.000 :0(startswith)
      524    0.000    0.000    0.000    0.000 :0(stat)
      266    0.000    0.000    0.000    0.000 :0(strip)
        1    0.000    0.000    0.000    0.000 :0(time)
        6    0.000    0.000    0.000    0.000 :0(tolist)
      124    0.000    0.000    0.000    0.000 :0(translate)
        6    0.000    0.000    0.000    0.000 :0(transpose)
        1    0.000    0.000    0.000    0.000 :0(union)
       11    0.000    0.000    0.000    0.000 :0(update)
      190    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(urandom)
        1    0.000    0.000    0.000    0.000 :0(values)
        1    0.000    0.000    0.000    0.000 :0(view)
        1    0.000    0.000    0.000    0.000 :0(warpAffine)
        2    0.016    0.008    0.016    0.008 :0(warpPerspective)
        3    0.000    0.000    0.000    0.000 :0(zeros)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      108    0.016    0.000    0.047    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      108    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap>:1099(create)
    108/1    0.000    0.000    2.344    2.344 <frozen importlib._bootstrap>:1122(_exec)
     17/2    0.000    0.000    0.266    0.133 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
    125/1    0.000    0.000    2.344    2.344 <frozen importlib._bootstrap>:1186(_load_unlocked)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1401(_open_registry)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1408(_search_registry)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1423(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
    108/1    0.016    0.000    2.344    2.344 <frozen importlib._bootstrap>:1465(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
      108    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap>:1534(get_code)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
      108    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:1621(get_data)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1631(path_stats)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
     11/2    0.000    0.000    0.266    0.133 <frozen importlib._bootstrap>:1708(load_module)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1887(_legacy_get_spec)
      124    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:192(acquire)
      124    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      270    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       13    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:2061(_fill_cache)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2090(<setcomp>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      502    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      130    0.016    0.000    0.062    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:217(release)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
    136/1    0.000    0.000    2.344    2.344 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    136/1    0.000    0.000    2.344    2.344 <frozen importlib._bootstrap>:2234(_find_and_load)
     17/4    0.000    0.000    0.250    0.062 <frozen importlib._bootstrap>:2240(_gcd_import)
   703/24    0.000    0.000    0.234    0.010 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      8/2    0.000    0.000    0.250    0.125 <frozen importlib._bootstrap>:2322(__import__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:261(__enter__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:268(__exit__)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:30(_relax_case)
    162/1    0.000    0.000    2.344    2.344 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
      216    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
     1061    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:50(_path_join)
     1138    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
     1061    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
    119/3    0.000    0.000    0.266    0.089 <frozen importlib._bootstrap>:534(_check_name_wrapper)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:56(_path_split)
      108    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
      108    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:739(__exit__)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      216    0.016    0.000    0.031    0.000 <frozen importlib._bootstrap>:824(cached)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
